Democrat Strength Rating,State,CD#,2018 Cook PVI Score,2018 Winner,Party,Dem Votes,GOP Votes,Other Votes,Dem %,GOP %,Other %,Dem Margin,2016 Clinton Margin,Swing vs. 2016 Prez,2016 Total Votes Cast,Raw Votes vs. 2016,Final?,2012 Winner,2016 winner,Pre-Election Rating,PVI Performance
218,California,10,0,Josh Harder,D,"115,945","105,955",0,52.30%,47.70%,0.00%,4.50%,3.00%,1.50%,"243,067",91.30%,x,Obama ,Clinton,Lean D,
222,California,39,0,Gil Cisneros,D,"126,002","118,391",0,51.60%,48.40%,0.00%,3.10%,8.50%,-5.40%,"274,379",89.10%,x,Romney,Clinton,Toss Up,
189,Iowa,2,1,Dave Loebsack,D,"171,446","133,287","8,180",54.80%,42.60%,2.60%,12.20%,-4.10%,16.30%,"384,495",81.40%,x,Obama ,Trump,Solid D,
171,New York,3,1,Tom Suozzi,D,"157,456","109,514",0,59.00%,41.00%,0.00%,18.00%,6.10%,11.90%,"348,146",76.70%,x,Obama ,Clinton,Solid D,
195,Pennsylvania,7,1,Susan Wild,D,"140,813","114,437","8,011",53.50%,43.50%,3.00%,10.00%,1.10%,8.90%,"329,510",79.90%,x,Obama ,Clinton,Likely D,
214,Iowa,1,1,Abby Finkenauer,D,"170,342","153,442","10,459",51.00%,45.90%,3.10%,5.10%,-3.50%,8.60%,"395,633",84.50%,x,Obama ,Trump,Likely D,
188,Virginia,10,1,Jennifer Wexton,D,"206,356","160,841",598,56.10%,43.70%,0.20%,12.40%,9.80%,2.60%,"408,608",90.00%,x,Romney,Clinton,Likely D,
191,Minnesota,3,1,Dean Phillips,D,"202,404","160,839",706,55.60%,44.20%,0.20%,11.40%,9.40%,2.00%,"401,670",90.60%,x,Obama ,Clinton,Likely D,
178,Florida,13,2,Charlie Crist,D,"182,717","134,254",0,57.60%,42.40%,0.00%,15.30%,3.20%,12.10%,"360,760",87.90%,x,Obama ,Clinton,Solid D,
186,New Hampshire,2,2,Annie Kuster,D,"154,378","118,670","6,357",55.30%,42.50%,2.30%,12.80%,2.40%,10.40%,"366,722",76.20%,x,Obama ,Clinton,Solid D,
169,California,36,2,Raul Ruiz,D,"122,169","84,839",0,59.00%,41.00%,0.00%,18.00%,8.70%,9.30%,"237,370",87.20%,x,Obama ,Clinton,Solid D,
172,Pennsylvania,6,2,Chrissy Houlahan,D,"177,704","124,124",0,58.90%,41.10%,0.00%,17.80%,9.30%,8.50%,"353,374",85.40%,x,Obama ,Clinton,Solid D,
190,Connecticut,5,2,Jahana Hayes,D,"151,225","119,426",13,55.90%,44.10%,0.00%,11.70%,4.10%,7.60%,"323,202",83.70%,x,Obama ,Clinton,Solid D,
192,Colorado,6,2,Jason Crow,D,"187,639","148,685","10,498",54.10%,42.90%,3.00%,11.20%,8.90%,2.30%,"380,530",91.10%,x,Obama ,Clinton,Likely D,
150,Illinois,17,3,Cheri Bustos,D,"142,659","87,090",0,62.10%,37.90%,0.00%,24.20%,-0.70%,24.90%,"283,713",81.00%,x,Obama ,Trump,Solid D,
143,Connecticut,2,3,Joe Courtney,D,"179,731","102,483","6,900",62.20%,35.40%,2.40%,26.70%,2.90%,23.80%,"341,409",84.70%,x,Obama ,Clinton,Solid D,
202,Nevada,4,3,St0 Horsford,D,"121,962","102,748","10,158",51.90%,43.70%,4.30%,8.20%,4.90%,3.30%,"276,932",84.80%,x,Obama ,Clinton,Likely D,
194,California,7,3,Ami Bera,D,"155,016","126,601",0,55.00%,45.00%,0.00%,10.10%,11.20%,-1.10%,"309,549",91.00%,x,Obama ,Clinton,Solid D,
261,New York,24,3,John Katko,R,"123,226","136,920",0,47.40%,52.60%,0.00%,-5.30%,3.60%,-8.90%,"310,431",83.80%,x,Obama ,Clinton,Likely R,
155,Michigan,9,4,Andy Levin,D,"181,734","112,123","10,706",59.70%,36.80%,3.50%,22.90%,7.70%,15.20%,"355,063",85.80%,x,Obama ,Clinton,Solid D,
157,New York,4,4,Kathleen Rice,D,"159,535","100,571",0,61.30%,38.70%,0.00%,22.70%,9.50%,13.20%,"339,434",76.60%,x,Obama ,Clinton,Solid D,
167,Massachusetts,9,4,Bill Keating,D,"192,347","131,463",118,59.40%,40.60%,0.00%,18.80%,10.60%,8.20%,"397,353",81.50%,x,Obama ,Clinton,Solid D,
160,Arizona,9,4,Greg Stanton,D,"159,583","101,662",0,61.10%,38.90%,0.00%,22.20%,15.90%,6.30%,"290,237",90.00%,x,Obama ,Clinton,Solid D,
153,Michigan,5,5,Daniel Kildee,D,"164,502","99,265","12,646",59.50%,35.90%,4.60%,23.60%,4.30%,19.30%,"327,971",84.30%,x,Obama ,Clinton,Solid D,
154,Washington,10,5,Denny Heck,D,"166,215","103,860",0,61.50%,38.50%,0.00%,23.10%,11.30%,11.80%,"294,847",91.60%,x,Obama ,Clinton,Solid D,
175,California,3,5,John Garamendi,D,"134,875","97,376",0,58.10%,41.90%,0.00%,16.10%,12.50%,3.60%,"263,803",88.00%,x,Obama ,Clinton,Solid D,
176,Florida,9,5,Darren Soto,D,"172,172","124,565",0,58.00%,42.00%,0.00%,16.00%,12.90%,3.10%,"356,530",83.20%,x,Obama ,Clinton,Solid D,
210,Florida,27,5,Donna Shalala,D,"130,743","115,588","6,255",51.80%,45.80%,2.50%,6.00%,19.70%,-13.70%,"299,037",84.50%,x,Obama ,Clinton,Likely D,
234,California,21,5,T.J. Cox,D,"57,239","56,377",0,50.40%,49.60%,0.00%,0.80%,15.40%,-14.60%,"134,881",84.20%,x,Obama ,Clinton,Likely R,
87,Illinois,3,6,Dan Lipinski,D,"163,053","57,885","2,396",73.00%,25.90%,1.10%,47.10%,15.40%,31.70%,"286,582",77.90%,x,Obama ,Clinton,Solid D,
141,Rhode Island,2,6,Jim Langevin,D,"126,476","72,271",450,63.50%,36.30%,0.20%,27.20%,6.80%,20.40%,"243,211",81.90%,x,Obama ,Clinton,Solid D,
133,Delaware,AL,6,Lisa Blunt Rochester,D,"227,353","125,384",0,64.50%,35.50%,0.00%,28.90%,11.40%,17.50%,"442,997",79.60%,x,Obama ,Clinton,Solid D,
118,Massachusetts,6,6,Seth Moulton,D,"217,703","104,798","11,474",65.20%,31.40%,3.40%,33.80%,17.60%,16.20%,"407,896",81.90%,x,Obama ,Clinton,Solid D,
136,Washington,6,6,Derek Kilmer,D,"206,409","116,677",0,63.90%,36.10%,0.00%,27.80%,12.40%,15.40%,"333,450",96.90%,x,Obama ,Clinton,Solid D,
149,Colorado,7,6,Ed Perlmutter,D,"204,260","119,734","14,073",60.40%,35.40%,4.20%,25.00%,12.10%,12.90%,"371,934",90.90%,x,Obama ,Clinton,Solid D,
148,Kentucky,3,6,John Yarmuth,D,"173,002","101,930","3,788",62.10%,36.60%,1.40%,25.50%,14.90%,10.60%,"340,045",82.00%,x,Obama ,Clinton,Solid D,
151,Florida,22,6,Ted Deutch,D,"184,634","113,049",0,62.00%,38.00%,0.00%,24.00%,15.70%,8.30%,"356,478",83.50%,x,Obama ,Clinton,Solid D,
166,Georgia,2,6,Sanford Bishop,D,"136,699","92,472",0,59.60%,40.40%,0.00%,19.30%,11.70%,7.60%,"248,104",92.40%,x,Obama ,Clinton,Solid D,
162,Maryland,6,6,David Trone,D,"163,346","105,209","8,529",59.00%,38.00%,3.10%,21.00%,15.40%,5.60%,"337,363",82.10%,x,Obama ,Clinton,Solid D,
138,California,52,6,Scott Peters,D,"188,992","107,015",0,63.80%,36.20%,0.00%,27.70%,22.60%,5.10%,"329,258",89.90%,x,Obama ,Clinton,Solid D,
168,Washington,1,6,Suzan DelBene,D,"197,209","135,534",0,59.30%,40.70%,0.00%,18.50%,16.40%,2.10%,"347,060",95.90%,x,Obama ,Clinton,Solid D,
228,Florida,26,6,Debbie Mucarsel-Powell,D,"119,797","115,678",0,50.90%,49.10%,0.00%,1.70%,16.30%,-14.60%,"289,209",81.40%,x,Obama ,Clinton,Toss Up,
5,Florida,14,7,Kathy Castor,D,0,0,0,100.00%,0.00%,0.00%,100.00%,18.20%,N/A,"330,427",0.00%,x,Obama ,Clinton,Solid D,
29,New York,17,7,Nita Lowey,D,"170,168",0,"23,150",88.00%,0.00%,12.00%,88.00%,20.00%,N/A,"321,208",60.20%,x,Obama ,Clinton,Solid D,
