,CD_ID,State,CD,2020_dem_pct,2020_GOP_pct,Dem_2018_Vote_Share,GOP_2018_Vote_Share,2016_dem_vote_pct,2016_GOP_vote_pct,2018_Cook_PVI_Score,white_pct_pop,black_pct_pop,hispanic_pct_pop,asian_pct_pop,other_race_pct_pop,white_non_college_pct_pop,white_ba_pct_pop,black_non_college_pct_dis,black_ba_pct_dis,hispanic_non_college_pct_pop,hispanic_ba_pct_pop,asian_non_college_pct_pop,asian_ba_pct_pop,2020_dem_margin,City_Lab_Congressional_Index_Dense suburban,City_Lab_Congressional_Index_Pure rural,City_Lab_Congressional_Index_Pure urban,City_Lab_Congressional_Index_Rural-suburban mix,City_Lab_Congressional_Index_Sparse suburban,City_Lab_Congressional_Index_Urban-suburban mix
227,MO-8,MO,8,21.4,76.9,25.0,73.4,22.7,74.4,-24,92.18959004,4.211172523,1.3866606,0.0,2.212576835,75.40766253,16.78192752,3.97110568,0.2400668421,1.267215578,0.1194450219,0.0,0.0,-55.50000000000001,0,1,0,0,0,0
228,MS-1,MS,1,31.3,68.7,32.4,66.9,27.8,68.8,-16,68.90824256,26.79611612,2.578481263,0.9537384943,0.763421554,52.58425734,16.32398522,22.6185418,4.177574321,2.278712502,0.299768761,0.5642936442,0.3894448502,-37.400000000000006,0,1,0,0,0,0
229,MS-2,MS,2,66.0,34.0,71.8,0.0,66.8,29.4,14,33.49703136,63.87114574,0.0,0.0,2.631822897,25.05131657,8.44571479,53.89719028,9.973955459,0.0,0.0,0.0,0.0,32.0,0,1,0,0,0,0
230,MS-3,MS,3,35.3,64.7,36.7,62.3,30.3,66.3,-13,62.77176444,33.09684917,1.665715061,1.212588732,1.253082595,43.78864633,18.98311811,26.59171253,6.505136647,1.490376633,0.1753384275,0.5861486692,0.626440063,-29.400000000000006,0,1,0,0,0,0
231,MS-4,MS,4,0.0,100.0,30.7,68.2,27.7,65.2,-21,72.19162204,21.51945054,3.320720738,1.4363032,1.53190348,54.01990555,18.17171649,18.96698054,2.552469993,2.835630742,0.4850899965,1.034552125,0.4017510753,-100.0,0,0,0,1,0,0
232,MT-AL,MT,AL,43.6,56.4,46.2,50.9,40.5,56.3,-11,88.78792371,0.0,2.978906934,0.9255340656,7.307635285,58.13316261,30.6547611,0.0,0.0,2.180605162,0.7983017724,0.4817036188,0.4438304468,-12.799999999999997,0,1,0,0,0,0
233,NC-1,NC,1,54.2,45.8,69.8,30.2,68.6,29.0,17,45.53123882,43.61682484,6.861153534,1.914221636,2.076561172,28.29516559,17.23607323,35.0503368,8.566488042,5.92193084,0.9392226937,0.5204867109,1.393734925,8.400000000000006,0,0,0,1,0,0
234,NC-2,NC,2,63.0,34.8,45.8,51.3,43.3,56.7,-7,70.24617812,18.97918317,6.873196872,2.59399665,1.307445183,39.58523466,30.66094346,14.37170088,4.60748229,5.663367131,1.209829741,1.122744732,1.471251918,28.200000000000003,0,0,0,1,0,0
235,NC-3,NC,3,36.6,63.4,0.0,100.0,32.6,67.4,-12,70.99528267,19.79096585,6.152795974,1.428577049,1.632378457,50.31022666,20.68505601,17.19190775,2.599058107,5.06041256,1.092383414,0.9279259076,0.5006511416,-26.799999999999997,0,1,0,0,0,0
236,NC-4,NC,4,67.3,32.7,72.4,24.0,68.2,31.8,17,58.00573385,22.00880703,9.175363694,9.481478426,1.328617001,20.13774304,37.86799081,14.28684377,7.721963259,6.802931551,2.372432143,2.376557215,7.104921211,34.599999999999994,0,0,0,0,1,0
237,NC-5,NC,5,31.1,66.9,43.0,57.0,41.5,58.5,-10,76.45529272,13.98425506,6.898277272,1.41946156,1.242713387,54.58100675,21.87428597,11.1085094,2.875745656,6.116317671,0.781959601,0.4588654505,0.9605961097,-35.800000000000004,0,0,0,1,0,0
238,NC-6,NC,6,62.3,37.7,43.5,56.5,40.7,59.3,-9,70.13292888,19.11663908,7.558826317,1.703174105,1.488431614,50.98292998,19.14999891,15.28609242,3.830546664,6.567146222,0.9916800957,0.8079276074,0.8952464981,24.599999999999994,0,0,0,1,0,0
239,NC-7,NC,7,39.6,60.2,42.8,55.5,39.0,61.0,-9,72.70897887,17.56031752,6.326811266,0.9591616475,2.444730704,48.87059151,23.83838736,15.01027051,2.550047001,5.643909062,0.6829022038,0.49629217,0.4628694774,-20.6,0,1,0,0,0,0
240,NC-8,NC,8,46.7,53.3,44.7,55.3,41.2,58.8,-8,63.13656397,22.6240824,8.100491243,2.983101698,3.155760684,44.6514702,18.48509377,17.46900493,5.155077474,6.411960626,1.688530616,1.603129398,1.3799723,-6.599999999999994,0,1,0,0,0,0
241,NC-9,NC,9,44.4,55.6,48.9,49.3,41.7,58.3,-8,63.59718868,19.21233442,5.553263625,2.904333998,8.732879281,35.88243898,27.7147497,15.44352601,3.768808413,4.547022908,1.006240718,1.055746411,1.848587588,-11.200000000000003,0,0,0,0,1,0
242,NC-10,NC,10,31.1,68.9,40.7,59.3,36.8,63.2,-12,80.72673767,11.56264625,5.058282147,1.605422307,1.04691162,58.28196504,22.44477263,9.693356327,1.869289925,4.146126937,0.9121552102,0.9077847321,0.6976375745,-37.800000000000004,0,0,0,1,0,0
243,NC-11,NC,11,42.3,54.5,38.7,59.2,35.8,64.2,-14,88.25810185,3.365249719,5.041561448,0.0,3.335086981,63.72807941,24.53002245,2.857744108,0.5075056117,4.359743266,0.6818181818,0.0,0.0,-12.200000000000003,0,1,0,0,0,0
244,NC-12,NC,12,100.0,0.0,73.1,26.9,67.0,33.0,18,42.69732016,36.44831234,12.60061728,6.209571362,2.044178861,18.85296718,23.84435298,25.32071367,11.12759867,10.45417099,2.14644629,2.666138619,3.543432743,100.0,0,0,0,0,1,0
245,NC-13,NC,13,31.8,68.2,45.5,51.5,43.9,56.1,-6,67.35189949,21.05953846,6.094023786,3.741565075,1.752973195,44.64340305,22.70849644,16.51493122,4.54460724,4.961786526,1.132237259,2.150952541,1.590612534,-36.400000000000006,0,0,0,1,0,0
246,ND-AL,ND,AL,27.6,69.0,35.6,60.2,23.8,69.2,-16,86.85303594,2.670830235,3.044758364,1.420371747,6.011003717,59.27831475,27.57472119,2.089913259,0.5809169765,2.517174721,0.5275836431,0.8442131351,0.5761586121,-41.4,0,0,0,1,0,0
247,NE-1,NE,1,37.7,59.5,39.6,60.4,30.4,69.6,-11,85.52289232,2.441006042,7.359710653,2.511293674,2.165097307,55.49411013,30.02878219,1.904675676,0.5363303662,6.286335131,1.073375522,1.473657625,1.037636048,-21.799999999999997,0,0,0,1,0,0
248,NE-2,NE,2,46.2,50.8,49.0,51.0,47.3,49.4,-4,76.8822036,8.811701004,8.614662203,3.764182525,1.927250668,40.68165989,36.20054371,6.936125278,1.875575726,7.276730549,1.337931654,1.756948033,2.007234492,-4.599999999999994,1,0,0,0,0,0
249,NE-3,NE,3,17.7,78.5,23.3,76.7,0.0,100.0,-27,87.16730225,1.259288017,9.226096871,0.0,2.347312864,65.03995322,22.12734903,0.9582874666,0.3010005504,8.27174084,0.9543560308,0.0,0.0,-60.8,0,1,0,0,0,0
250,NH-1,NH,1,51.3,46.2,53.6,45.0,44.2,42.9,-2,91.74452558,0.0,3.173484637,2.648417915,2.433571871,56.52030406,35.22422151,0.0,0.0,2.426079596,0.7474050405,1.210913612,1.437504303,5.099999999999994,0,0,0,1,0,0
251,NH-2,NH,2,53.9,43.7,55.3,42.5,49.8,45.4,2,91.52864328,1.427430707,2.87420664,2.64988434,1.51983503,58.32956033,33.19908295,0.8483087333,0.5791219737,2.111716621,0.7624900187,0.6700856952,1.979798645,10.199999999999996,0,1,0,0,0,0
252,NJ-1,NJ,1,62.5,37.5,64.4,33.3,59.8,36.9,13,66.60786405,15.88345958,11.33321017,5.123376223,1.052089976,41.86745971,24.74040435,12.39165718,3.491802399,9.76461076,1.568599405,2.097822913,3.025553311,25.0,1,0,0,0,0,0
253,NJ-2,NJ,2,46.2,51.9,52.9,45.2,37.1,59.4,-1,69.4937848,11.90075552,13.56297543,3.674088084,1.368396167,47.80903642,21.68474838,10.10682152,1.793934,11.61368635,1.949289082,2.203976057,1.470112027,-5.699999999999996,0,0,0,1,0,0
254,NJ-3,NJ,3,53.2,45.5,50.0,48.7,38.6,59.5,-2,76.25024703,11.03714369,7.197425256,3.795488552,1.719695473,47.72874848,28.52149855,7.802904115,3.234239575,5.730687069,1.466738187,1.696357152,2.0991314,7.700000000000003,0,0,0,0,1,0
255,NJ-4,NJ,4,38.3,59.9,43.1,55.4,33.5,63.7,-8,79.23648587,6.142122189,9.524540541,4.645954127,0.4508972678,42.44692953,36.78955635,4.264728458,1.877393731,7.297214317,2.227326224,1.467039823,3.178914304,-21.6,0,0,0,0,1,0
256,NJ-5,NJ,5,53.2,45.6,56.2,42.5,50.5,47.2,-3,70.01330418,5.522106825,13.06346695,10.43903799,0.9620840507,34.70338647,35.30991772,2.794846421,2.727260404,8.358395674,4.705071275,3.041951745,7.397086249,7.600000000000001,1,0,0,0,0,0
257,NJ-6,NJ,6,61.2,38.8,63.6,36.4,63.0,35.7,9,50.43769778,10.63128834,19.7744642,18.34692372,0.8096259528,29.40581451,21.03188327,7.586694947,3.044593398,16.45039992,3.324064282,5.292954655,13.05396907,22.400000000000006,1,0,0,0,0,0
258,NJ-7,NJ,7,50.6,49.4,51.7,46.7,43.0,54.2,-3,70.17102596,4.468649116,12.6852975,11.59763749,1.077389926,31.0059644,39.16506156,2.801795133,1.666853983,8.836535145,3.848762358,2.021656313,9.575981181,1.2000000000000028,0,0,0,0,1,0
259,NJ-8,NJ,8,74.0,24.6,78.1,18.7,76.9,18.6,27,27.61446454,10.79573032,51.22205876,11.35088663,-0.9831402546,12.92605566,14.68840888,8.205063567,2.590666752,42.344449,8.877609761,2.270666451,9.080220181,49.4,0,0,1,0,0,0
260,NJ-9,NJ,9,65.8,31.9,70.3,28.9,69.6,28.1,16,39.592741,8.918704563,35.87243815,14.67511402,0.9410022663,22.79975962,16.79298139,7.072305521,1.846399041,28.90487682,6.967561325,5.044676414,9.630437608,33.9,0,0,1,0,0,0
261,NJ-10,NJ,10,83.3,13.9,87.6,10.1,85.6,12.0,36,22.79652403,50.19462819,18.91416339,7.111725434,0.9829589644,11.45033612,11.34618791,38.79588489,11.39874329,14.55957432,4.354589067,2.431408484,4.680316949,69.39999999999999,0,0,1,0,0,0
