,CD_ID,State,CD,2020_dem_pct,2020_GOP_pct,Dem_2018_Vote_Share,GOP_2018_Vote_Share,2016_dem_vote_pct,2016_GOP_vote_pct,2018_Cook_PVI_Score,white_pct_pop,black_pct_pop,hispanic_pct_pop,asian_pct_pop,other_race_pct_pop,white_non_college_pct_pop,white_ba_pct_pop,black_non_college_pct_dis,black_ba_pct_dis,hispanic_non_college_pct_pop,hispanic_ba_pct_pop,asian_non_college_pct_pop,asian_ba_pct_pop,2020_dem_margin,City_Lab_Congressional_Index_Dense suburban,City_Lab_Congressional_Index_Pure rural,City_Lab_Congressional_Index_Pure urban,City_Lab_Congressional_Index_Rural-suburban mix,City_Lab_Congressional_Index_Sparse suburban,City_Lab_Congressional_Index_Urban-suburban mix
297,NY-27,NY,27,39.0,59.7,48.8,49.1,32.3,67.7,-11,92.57397747,2.738282092,2.314921675,0.9028867756,1.469931985,61.38783738,31.18614009,2.303957776,0.434324316,1.683631859,0.6312898163,0.3764272305,0.5264595451,-20.700000000000003,0,1,0,0,0,0
298,OH-1,OH,1,44.6,51.8,46.9,51.3,40.4,59.6,-5,71.69371083,20.19865822,2.465472551,4.166967603,1.475190794,42.08095593,29.61275489,16.42732183,3.771336399,1.552832414,0.9126401361,1.122894448,3.044073156,-7.199999999999996,0,0,0,0,1,0
299,OH-2,OH,2,38.9,61.1,41.2,57.6,33.4,66.6,-9,86.47436762,8.796342448,1.799260749,0.0,2.930029183,56.99151093,29.48285669,7.043211578,1.75313087,1.319197262,0.4800634872,0.0,0.0,-22.200000000000003,0,0,0,1,0,0
300,OH-3,OH,3,70.8,29.1,73.6,26.4,68.3,31.7,19,54.30963698,32.53941189,5.514902697,4.587496785,3.048551643,35.4229813,18.88665568,25.8846839,6.654727998,4.421371486,1.09353121,2.336422781,2.251074004,41.699999999999996,1,0,0,0,0,0
301,OH-4,OH,4,29.3,67.9,34.7,65.3,31.9,68.1,-14,88.88727273,5.232929293,3.103636364,0.0,2.776161616,70.96060606,17.92666667,4.538787879,0.6941414141,2.784040404,0.3195959596,0.0,0.0,-38.60000000000001,0,0,0,1,0,0
302,OH-5,OH,5,32.0,68.0,35.1,62.3,29.0,71.0,-11,89.75167785,2.714460037,4.89566809,0.0,2.638194021,64.5169819,25.23469595,2.123042506,0.591417531,4.136872076,0.7587960138,0.0,0.0,-36.0,0,0,0,1,0,0
303,OH-6,OH,6,25.6,74.4,30.7,69.3,29.4,70.6,-16,95.53925144,2.183322519,1.145564238,0.0,1.131861799,78.40455243,17.13469901,2.044686073,0.1386364461,0.9106077032,0.2349565351,0.0,0.0,-48.800000000000004,0,1,0,0,0,0
304,OH-7,OH,7,29.2,67.5,41.3,58.7,28.9,64.1,-12,92.1516253,3.913466895,2.220035828,0.0,1.714871976,72.42638955,19.72523575,3.468618123,0.4448487715,1.593640666,0.626395162,0.0,0.0,-38.3,0,0,0,1,0,0
305,OH-8,OH,8,31.0,69.0,33.4,66.6,26.8,69.0,-17,87.7892284,6.412665332,2.483877055,2.006957892,1.307271325,65.99022777,21.79900062,4.889190653,1.523474679,1.953214743,0.5306623125,0.9271718796,1.079786012,-38.0,0,0,0,1,0,0
306,OH-9,OH,9,63.1,36.9,67.8,32.2,68.5,31.5,14,73.80309344,13.7093886,8.710252337,2.08286811,1.694397512,53.31885346,20.48423998,12.39482432,1.314564277,7.845462857,0.8647894801,1.225451987,0.8574161228,26.200000000000003,1,0,0,0,0,0
307,OH-10,OH,10,41.6,58.4,42.2,55.9,32.4,64.4,-4,77.28472694,15.78208601,2.359598828,2.068783314,2.50480491,52.52628331,24.75844363,12.09627163,3.685814374,1.923577232,0.4360215954,0.5677154445,1.50106787,-16.799999999999997,0,0,0,0,1,0
308,OH-11,OH,11,80.1,19.9,82.2,17.7,80.1,19.9,32,41.42257389,50.69308389,3.998779448,2.383442587,1.502120182,22.98088153,18.44169236,43.89818916,6.794894727,3.346626122,0.6521533265,0.6184829386,1.764959648,60.199999999999996,0,0,0,0,0,1
309,OH-12,OH,12,41.8,55.2,47.2,51.4,29.9,66.6,-7,86.76289636,5.005893313,2.031481581,4.633236067,1.566492674,50.68009022,36.08280614,3.7478513,1.258042014,1.155163449,0.8763181316,1.172371554,3.460864513,-13.400000000000006,0,0,0,0,1,0
310,OH-13,OH,13,52.5,44.9,61.0,39.0,67.6,32.4,7,82.73370993,10.85634652,2.815026652,1.962128836,1.632788062,61.65690879,21.07680114,9.478278231,1.378068284,2.340074097,0.4749525552,1.470235298,0.491893538,7.600000000000001,0,0,0,0,1,0
311,OH-14,OH,14,39.9,60.1,44.8,55.2,37.3,62.7,-5,90.04817832,4.627705865,2.370694724,1.946733361,1.006687731,59.33851835,30.70965997,3.635718598,0.9919872674,1.858334575,0.5123601496,0.6546606349,1.292072726,-20.200000000000003,0,0,0,0,1,0
312,OH-15,OH,15,36.6,63.4,39.7,58.3,33.8,66.2,-7,89.13947127,4.386892766,1.70428186,2.911234083,1.85812002,58.92613913,30.21333215,3.15711534,1.229777426,1.136620905,0.5676609548,0.77160322,2.139630863,-26.799999999999997,0,0,0,1,0,0
313,OH-16,OH,16,36.8,63.2,43.3,56.7,34.6,65.4,-8,92.44447988,1.975604397,2.002049495,2.604453277,0.9734129538,59.90631435,32.53816553,1.473730878,0.5018735185,1.422007377,0.5800421177,0.9823576194,1.622095657,-26.400000000000006,0,0,0,0,1,0
314,OK-1,OK,1,32.7,63.7,40.7,59.3,0.0,100.0,-17,69.43948789,8.022371415,8.747081828,3.121514922,10.66954395,44.26291059,25.1765773,6.309385734,1.712985681,7.709922529,1.037159299,1.95777758,1.163737342,-31.0,0,0,0,0,1,0
315,OK-2,OK,2,22.0,75.0,30.1,65.0,23.2,70.6,-24,69.37809229,3.166899923,3.980209339,0.6769036684,22.79789478,56.74617098,12.63192131,2.763399105,0.403500818,3.64018056,0.3400287792,0.4468668073,0.2300368611,-53.0,0,1,0,0,0,0
316,OK-3,OK,3,21.5,78.5,26.1,73.9,21.7,78.3,-27,77.3212257,3.547181892,8.395960132,1.400172557,9.335459716,57.30830344,20.01292227,2.924882977,0.6222989143,7.615744084,0.7802160478,0.7175567155,0.6826158417,-57.0,0,1,0,0,0,0
317,OK-4,OK,4,28.8,67.8,33.0,63.1,26.1,69.6,-20,74.4008049,6.69421631,6.96097498,2.269954377,9.674049431,54.16318923,20.23761567,5.228007347,1.466208962,5.718157129,1.24281785,1.311434965,0.9585194123,-39.0,0,0,0,1,0,0
318,OK-5,OK,5,47.9,52.1,50.7,49.3,36.8,57.1,-10,63.28519503,12.66168151,12.81311543,3.545801393,7.694206639,39.41740311,23.86779192,10.14220419,2.519477313,11.2967497,1.516365733,1.829366022,1.716435371,-4.200000000000003,1,0,0,0,0,0
319,OR-1,OR,1,64.6,35.2,63.6,32.1,59.6,37.3,9,73.97069768,1.812374336,11.59793601,9.177071989,3.441919983,42.93971294,31.03098474,1.11321621,0.6991581261,10.01496775,1.582968256,3.073942022,6.103129967,29.39999999999999,1,0,0,0,0,0
320,OR-2,OR,2,36.9,59.9,39.4,56.3,27.9,72.1,-11,83.36231681,0.0,10.2519897,1.096041923,5.289651565,59.28587372,24.07644309,0.0,0.0,8.922414224,1.329575475,0.6704511762,0.4255907466,-23.0,0,0,0,1,0,0
321,OR-3,OR,3,73.0,23.5,72.6,19.8,72.6,0.0,24,74.36308065,4.393290961,9.215191748,7.387604597,4.640832047,38.18039597,36.18268468,3.317501219,1.075789741,7.014844418,2.20034733,4.252298768,3.135305829,49.5,0,0,0,0,0,1
322,OR-4,OR,4,51.5,46.2,56.0,40.9,55.5,39.8,0,86.86776792,0.0,6.49775496,1.794478289,4.839998826,62.21168802,24.65607991,0.0,0.0,5.357195262,1.140559698,0.9401374472,0.8543408421,5.299999999999997,0,0,0,1,0,0
323,OR-5,OR,5,51.9,45.2,55.0,41.8,53.6,43.2,0,79.54669622,0.0,12.88100005,3.062729174,4.509574561,52.38940145,27.15729477,0.0,0.0,11.11337561,1.767624437,1.403857912,1.658871262,6.699999999999996,1,0,0,0,0,0
324,PA-1,PA,1,43.4,56.6,48.7,51.3,82.2,17.8,-1,84.43282201,4.008765522,4.465157049,5.993279766,1.099975651,48.04850256,36.38431945,2.758217677,1.250547845,3.697881665,0.7672753835,2.26092038,3.732359386,-13.200000000000003,0,0,0,0,1,0
325,PA-2,PA,2,72.5,27.5,79.0,21.0,90.2,9.8,25,42.92656124,23.9961763,23.12624342,9.424851607,0.526167434,28.75925797,14.16730327,20.6755614,3.320614897,21.32428336,1.801960055,6.482930197,2.94192141,45.0,0,0,1,0,0,0
326,PA-3,PA,3,91.0,9.0,93.4,6.6,0.0,100.0,41,34.4525048,54.45300736,3.431739239,5.49147864,2.17126996,10.40346228,24.04904252,43.65657866,10.7964287,2.040410015,1.391329224,1.941830145,3.549648495,82.0,0,0,1,0,0,0
327,PA-4,PA,4,59.5,40.5,63.5,36.5,33.9,66.1,7,78.23883049,9.112223413,4.398007111,7.022736212,1.228202775,39.55931236,38.67951813,6.166464858,2.945758555,3.142618058,1.255389053,1.99732379,5.025412422,19.0,0,0,0,0,1,0
328,PA-5,PA,5,64.7,35.3,65.2,34.8,32.7,67.3,13,65.69253503,22.76178344,3.575235669,6.814165605,1.156280255,36.51403822,29.17849682,17.8117707,4.950012739,2.489477707,1.085757962,3.227312102,3.586853503,29.400000000000006,0,0,0,0,0,1
329,PA-6,PA,6,56.1,43.9,58.9,41.1,42.7,57.3,2,76.74982857,6.145577024,12.05921504,4.576055827,0.4693235448,38.04525836,38.70457021,4.737203017,1.408374007,9.671049978,2.38816506,0.9912871607,3.584768666,12.200000000000003,0,0,0,0,1,0
330,PA-7,PA,7,52.1,47.9,53.5,43.5,40.3,59.7,1,73.99018059,6.192298144,16.35018894,2.913512725,0.5538196018,49.14887916,24.84130143,5.013929223,1.178368921,14.14141215,2.20877679,1.446314371,1.467198354,4.200000000000003,0,0,0,0,1,0
331,PA-8,PA,8,51.8,48.2,54.6,45.4,45.5,54.5,-1,82.199956,6.550468991,9.474610508,1.780564389,-0.005599888002,61.44777104,20.75218496,5.14349713,1.406971861,8.219035619,1.255574889,1.0449791,0.7355852883,3.5999999999999943,0,0,0,1,0,0
332,PA-9,PA,9,33.7,66.3,40.3,59.7,36.6,63.4,-14,90.12804044,2.47186148,5.49031209,1.284573797,0.6252121929,70.68531119,19.44272925,2.115873719,0.3559877618,4.789057893,0.7012541967,0.7203143334,0.5642594641,-32.599999999999994,0,1,0,0,0,0
333,PA-10,PA,10,46.7,53.3,48.7,51.3,29.7,70.3,-6,78.25869978,9.99827252,6.575941957,3.999117066,1.167968675,51.37142747,26.88727231,7.81838423,2.17988829,5.695502793,0.8804391639,1.97220676,2.026910305,-6.599999999999994,0,0,0,0,1,0
334,PA-11,PA,11,36.9,63.1,41.0,59.0,36.3,63.7,-14,87.27574375,3.443402491,7.005337948,1.657082939,0.6184328673,61.71603228,25.55971148,2.775613923,0.6677885673,6.161732088,0.84360586,0.9892943721,0.6677885673,-26.200000000000003,0,0,0,0,1,0
335,PA-12,PA,12,29.2,70.8,34.0,66.0,38.1,61.9,-17,93.779119,1.981030161,2.069664524,0.0,2.17018632,71.99070695,21.78841205,1.669245753,0.3117844079,1.58499097,0.4846735544,0.0,0.0,-41.599999999999994,0,1,0,0,0,0
336,PA-13,PA,13,26.5,73.5,29.5,70.5,100.0,0.0,-22,93.53370676,2.691448711,2.487560194,0.0,1.287284333,73.95439473,19.57931203,2.344617704,0.3468310071,2.256205869,0.231354325,0.0,0.0,-47.0,0,1,0,0,0,0
337,PA-14,PA,14,35.3,64.7,42.1,57.9,74.3,25.7,-14,94.05467172,2.964330039,1.190270587,0.8386316808,0.9520959767,67.86630894,26.18836278,2.680970531,0.2833595071,0.9251858605,0.2650847267,0.3170975632,0.5215341176,-29.400000000000006,0,0,0,1,0,0
338,PA-15,PA,15,26.5,73.5,32.2,67.8,38.0,58.4,-20,95.09877418,2.175462822,1.187006052,0.0,1.538756943,75.41849572,19.68027846,2.02307829,0.1523845319,0.9147157293,0.2722903232,0.0,0.0,-47.0,0,1,0,0,0,0
339,PA-16,PA,16,40.7,59.3,47.3,51.6,42.7,53.9,-8,91.94189155,3.955217646,2.072437129,0.8816526026,1.148801069,65.51132091,26.43057064,3.332567466,0.6226501796,1.630253154,0.4421839753,0.3951875679,0.4864650347,-18.599999999999994,0,0,0,1,0,0
340,PA-17,PA,17,51.1,48.9,56.3,43.7,53.8,46.2,-3,89.26615658,5.379991986,1.448606155,2.619969853,1.28527543,51.23032304,38.03583354,3.922417905,1.457574081,0.8359251274,0.6126810281,0.6556125856,1.964357267,2.200000000000003,0,0,0,0,1,0
341,PA-18,PA,18,69.2,30.8,100.0,0.0,0.0,100.0,13,75.99184324,16.23208166,2.208721463,3.825393761,1.741959876,43.80842061,32.18342262,12.77671863,3.455363032,1.207828563,1.0008929,1.232162106,2.593231655,38.400000000000006,0,0,0,0,0,1
342,RI-1,RI,1,70.8,0.0,66.7,33.1,64.7,35.3,14,72.44015069,7.940834919,14.31667385,3.179877766,2.122462776,44.0668633,28.37328739,6.034816458,1.90601846,12.57039892,1.746274922,1.67648935,1.503388417,70.8,0,0,0,0,0,1
343,RI-2,RI,2,58.2,41.5,63.5,36.3,58.2,30.8,6,78.74979611,5.277364159,11.81645506,3.629437485,0.526947179,48.93900251,29.8107936,4.091930316,1.185433844,9.822579542,1.993875522,1.552165929,2.077271555,16.700000000000003,0,0,0,0,1,0
344,SC-1,SC,1,49.3,50.6,50.6,49.2,36.9,58.6,-10,74.00763477,17.23479166,4.631899831,2.073182086,2.052491646,39.17338244,34.83425233,13.55292787,3.681863795,3.696174682,0.9357251482,1.155561073,0.9176210132,-1.3000000000000043,0,0,0,0,1,0
345,SC-2,SC,2,42.6,55.7,42.5,56.3,35.9,60.3,-12,69.44463007,23.33282707,4.248554621,1.884511406,1.089476828,43.56813787,25.87649221,16.44137987,6.891447202,3.483693286,0.7648613347,0.5909095511,1.293601855,-13.100000000000001,0,0,0,1,0,0
346,SC-3,SC,3,28.7,71.2,31.0,67.8,27.1,72.9,-19,75.44278084,18.85061085,3.613199234,0.0,2.093409071,55.33488339,20.10789745,16.72865529,2.121955558,2.696815619,0.9163836151,0.0,0.0,-42.5,0,1,0,0,0,0
347,SC-4,SC,4,36.9,61.6,36.6,59.6,31.1,67.2,-15,71.91667327,17.22355098,6.805776567,2.617978202,1.436020982,43.94684383,27.96982944,14.50831701,2.715233965,5.624206051,1.181570516,1.472177698,1.145800504,-24.700000000000003,0,0,0,0,1,0
348,SC-5,SC,5,39.9,60.1,41.5,57.0,38.8,59.1,-9,67.80238134,25.44063461,3.765440791,1.735353251,1.256190007,47.6943447,20.10803664,21.23142998,4.209204628,2.986262683,0.7791781079,0.8450875011,0.8902657498,-20.200000000000003,0,1,0,0,0,0
349,SC-6,SC,6,68.2,30.8,70.1,28.2,70.2,27.6,19,38.04448167,54.4155195,4.744021002,0.0,2.795977827,26.50302383,11.54145784,44.94661569,9.468903809,4.126195011,0.617825991,0.0,0.0,37.400000000000006,0,1,0,0,0,0
350,SC-7,SC,7,38.1,61.8,40.3,59.6,39.3,60.7,-9,69.792069,24.90072185,3.069841567,0.0,2.237367582,51.16621356,18.62585544,22.21805569,2.682666167,2.722414925,0.3474266429,0.0,0.0,-23.699999999999996,0,0,0,1,0,0
351,SD-AL,SD,AL,0.0,81.0,36.0,60.3,35.9,64.1,-14,85.92110253,1.986126535,2.843397179,1.207083324,8.042290431,58.74676249,27.17434004,1.610974969,0.3751515657,2.117072457,0.7263247221,0.6919726748,0.5151106493,-81.0,0,1,0,0,0,0
352,TN-1,TN,1,22.5,74.7,21.0,77.1,15.4,78.4,-28,93.33967595,2.397279324,2.477840799,0.0,1.785203926,72.94362039,20.39605556,1.68373483,0.7135444939,2.143127051,0.3347137478,0.0,0.0,-52.2,0,0,0,1,0,0
353,TN-2,TN,2,31.1,67.6,33.1,65.9,24.4,75.6,-20,88.21341603,5.258161479,3.326421125,1.71695457,1.4850468,60.11091241,28.10250361,4.243969257,1.014192223,2.718780915,0.60764021,0.6388402709,1.078114299,-36.49999999999999,0,0,0,1,0,0
354,TN-3,TN,3,30.5,67.3,34.5,63.7,28.8,66.4,-18,84.22630647,10.02135074,2.90240828,0.0,2.849934503,61.58006909,22.64623738,8.470522475,1.550828268,2.114731253,0.7876770277,0.0,0.0,-36.8,0,0,0,1,0,0
355,TN-4,TN,4,33.3,66.7,33.6,63.4,35.0,65.0,-20,82.17292173,9.375283613,5.313488014,1.901246321,1.237060319,62.53201928,19.64090245,6.81651908,2.558764533,4.344435822,0.9690521921,1.605455734,0.2957905869,-33.400000000000006,0,0,0,1,0,0
356,TN-5,TN,5,100.0,0.0,67.8,32.2,62.5,37.5,7,64.62597429,22.66957458,7.148496811,3.374651465,2.181302855,32.39378296,32.23219133,16.00511645,6.664458125,5.931406381,1.217090431,1.483771821,1.890879644,100.0,0,0,0,0,1,0
357,TN-6,TN,6,24.0,73.7,28.3,69.5,21.8,71.1,-24,89.16603683,5.01749811,3.166674428,1.195853467,1.453937164,67.14402897,22.02200786,3.48296576,1.534532351,2.538031973,0.6286424547,0.6495972032,0.546256264,-49.7,0,1,0,0,0,0
358,TN-7,TN,7,27.3,69.9,32.1,66.9,23.5,72.2,-20,82.23348443,9.68193635,4.082739721,0.0,4.001839495,55.47503074,26.7584537,7.582096836,2.099839513,3.099548573,0.9831911479,0.0,0.0,-42.60000000000001,0,1,0,0,0,0
359,TN-8,TN,8,29.5,68.5,30.1,67.7,25.1,68.8,-19,74.94707113,19.89838477,2.213072252,1.639616412,1.301855431,50.47907542,24.46799571,15.41382893,4.484555838,1.765866875,0.4472053763,0.8359994179,0.8036169938,-39.0,0,0,0,1,0,0
360,TN-9,TN,9,77.4,20.1,80.0,19.2,78.8,18.8,28,26.87223421,64.02916748,5.563839295,2.557277701,0.9774813071,16.12974953,10.74248469,52.87293179,11.15623569,4.881084734,0.6827545615,1.262180368,1.295097334,57.300000000000004,1,0,0,0,0,0
361,TX-1,TX,1,27.4,72.6,26.3,72.3,24.1,73.9,-25,66.78314886,16.94680182,13.72804993,0.0,2.541999386,49.01672456,17.7664243,14.60511282,2.341688999,12.4403403,1.287709631,0.0,0.0,-45.199999999999996,0,1,0,0,0,0
362,TX-2,TX,2,42.8,55.6,45.6,52.8,36.0,60.6,-11,51.1529355,11.07372302,27.63783951,8.307884299,1.827617669,23.37239289,27.78054261,7.277292675,3.796430349,19.88832587,7.749513641,3.700289553,4.607594746,-12.800000000000004,1,0,0,0,0,0
363,TX-3,TX,3,42.9,55.1,44.2,54.2,34.5,61.3,-13,57.97954558,9.624080448,12.60829272,17.90938885,1.878692405,26.4490195,31.53052608,5.442825232,4.181255216,8.829673233,3.778619483,3.915739502,13.99364935,-12.200000000000003,1,0,0,0,0,0
364,TX-4,TX,4,22.6,75.1,23.0,75.7,0.0,88.0,-28,74.06715782,10.92233102,11.44864681,1.591447132,1.970417227,54.54385334,19.52330448,9.089979356,1.83235166,10.21173841,1.236908392,1.087290013,0.5041571182,-52.49999999999999,0,1,0,0,0,0
365,TX-5,TX,5,35.9,62.0,37.5,62.3,0.0,80.6,-16,56.84298691,15.38577846,23.50222622,2.726570986,1.542437421,43.21868671,13.6243002,12.49746342,2.888315037,21.56686813,1.935358085,1.874082356,0.8524886302,-26.1,0,0,0,1,0,0
366,TX-6,TX,6,44.0,52.8,45.4,53.1,39.0,58.3,-9,51.35074334,20.49965111,21.45537114,4.909194206,1.785040208,32.41421779,18.93652555,13.78558927,6.714061839,17.71332594,3.742045199,2.68394703,2.225247176,-8.799999999999997,1,0,0,0,0,0
367,TX-7,TX,7,50.8,47.5,52.5,47.5,43.8,56.2,-7,42.65888291,14.69369588,28.1365393,12.80767475,1.703207172,15.38884739,27.27003551,8.707828143,5.985867736,20.84136448,7.295174819,4.079979675,8.727695073,3.299999999999997,0,0,0,0,0,1
368,TX-8,TX,8,25.5,72.5,24.9,73.4,0.0,100.0,-28,67.43186724,7.964618187,19.87064895,0.0,4.732865623,44.72527658,22.70659066,6.382723961,1.581894226,16.22554641,3.645102536,0.0,0.0,-47.0,0,0,0,1,0,0
369,TX-9,TX,9,75.5,21.6,89.1,0.0,80.6,19.4,29,12.25859316,39.52423389,33.48564867,14.00882392,0.7227003674,6.752314136,5.50627902,28.05273619,11.47149769,29.85819124,3.62745743,8.584284806,5.424539117,53.9,0,0,0,0,0,1
370,TX-10,TX,10,45.3,52.5,46.8,51.1,38.4,57.4,-9,55.99255996,11.77439505,25.19840393,5.586910498,1.447730573,28.67135272,27.32120724,8.240701172,3.533693874,19.08623674,6.112167191,1.705610652,3.881299847,-7.200000000000003,0,0,0,1,0,0
371,TX-11,TX,11,18.3,79.7,18.4,80.1,0.0,89.5,-32,59.64570806,4.401615825,33.89273149,0.0,2.05994462,42.22538899,17.42031907,3.640625784,0.7609900401,30.12195923,3.770772267,0.0,0.0,-61.400000000000006,0,0,0,1,0,0
372,TX-12,TX,12,33.0,63.7,33.9,64.3,26.8,69.4,-18,66.04006837,9.013233097,18.98517592,3.97010818,1.991414433,42.71552605,23.32454232,6.675851838,2.337381259,15.13510802,3.850067903,2.357089364,1.613018816,-30.700000000000003,0,0,0,0,1,0
373,TX-13,TX,13,18.5,79.4,16.9,81.5,0.0,90.0,-33,67.82746027,5.22111355,23.22755473,2.056517363,1.667354096,50.27322638,17.55423389,4.817845519,0.4032680311,21.05670329,2.170851436,1.451294753,0.6052226095,-60.900000000000006,0,0,0,1,0,0
374,TX-14,TX,14,38.4,61.6,39.3,59.2,38.1,61.9,-12,54.60472056,18.714926,22.12041344,3.441311883,1.118628121,37.153492,17.45122856,15.38856728,3.326358721,19.87449634,2.245917096,1.835904361,1.605407523,-23.200000000000003,0,0,0,0,1,0
375,TX-15,TX,15,50.5,47.6,59.7,38.8,57.3,37.7,7,17.19994806,2.326151243,78.40053279,0.0,2.073367903,11.02152114,6.178426921,1.854721834,0.4714294092,64.72531017,13.67522263,0.0,0.0,2.8999999999999986,0,0,0,0,1,0
376,TX-16,TX,16,64.7,35.3,68.5,27.0,85.8,0.0,17,14.30184248,4.000285488,79.58634591,1.420084046,0.6914420796,8.349860609,5.951981867,2.869581955,1.130703532,62.94350592,16.64284,0.8049882453,0.6150958005,29.400000000000006,1,0,0,0,0,0
377,TX-17,TX,17,40.9,55.9,41.3,56.8,35.2,60.8,-12,56.4965696,13.6380586,23.26600225,4.652792919,1.946576629,34.54017145,21.95639815,11.50829633,2.129762266,19.05089871,4.215103544,1.487084292,3.165708627,-15.0,0,0,0,1,0,0
378,TX-18,TX,18,73.3,23.5,75.2,20.8,73.5,23.6,27,19.65808052,35.12459454,38.58996375,5.065254722,1.562106468,9.132417478,10.52566304,29.43732112,5.687273421,34.72600649,3.86395726,2.737645488,2.327609235,49.8,1,0,0,0,0,0
379,TX-19,TX,19,22.9,74.8,24.8,75.2,0.0,86.7,-27,57.14301441,6.278278675,33.58036923,1.750828407,1.247509275,38.89538404,18.24763037,5.445798518,0.8324801568,30.24538459,3.334984643,0.7038981913,1.046930216,-51.9,0,0,0,1,0,0
380,TX-20,TX,20,64.7,33.1,80.9,0.0,79.7,0.0,10,23.97083701,5.147645343,66.38048299,3.301452369,1.199582285,14.55914484,9.41169217,3.272744088,1.874901255,55.7509046,10.62957839,1.321929659,1.97952271,31.6,1,0,0,0,0,0
381,TX-21,TX,21,45.4,52.0,47.6,50.2,36.4,57.0,-10,63.71197489,3.845023503,26.67869404,3.833301906,1.931005662,30.56397868,33.1479962,2.139785987,1.705237515,17.81258016,8.866113883,1.35087156,2.482430346,-6.600000000000001,1,0,0,0,0,0
382,TX-22,TX,22,44.6,51.5,46.5,51.4,40.5,59.5,-10,40.61968006,14.32414776,23.92490853,19.49227814,1.638985522,20.89135325,19.72832681,7.818086445,6.506061318,17.56897223,6.355936294,7.381871076,12.11040706,-6.899999999999999,0,0,0,0,1,0
383,TX-23,TX,23,46.6,50.6,48.7,49.2,46.8,48.5,-1,27.74660986,3.556155479,65.32346673,2.028760186,1.345007743,16.77121812,10.97539174,2.348541,1.207614479,55.28250988,10.04095685,0.9818395833,1.046920603,-4.0,0,0,0,1,0,0
384,TX-24,TX,24,47.5,48.8,47.5,50.6,39.3,56.2,-9,49.37188307,12.1219538,20.08654943,15.9137422,2.505871509,23.24770391,26.12417916,7.373886236,4.748067566,15.17670074,4.909848686,4.20926006,11.70448214,-1.2999999999999972,1,0,0,0,0,0
385,TX-25,TX,25,42.1,55.9,44.8,53.5,37.7,58.4,-11,71.74136725,6.873226986,16.02007876,3.703992203,1.661334792,40.16386909,31.57749816,5.165879868,1.707347118,12.27713912,3.742939644,0.8644520367,2.839540167,-13.799999999999997,0,0,0,1,0,0
386,TX-26,TX,26,37.3,60.6,39.0,59.4,29.6,66.3,-18,64.80136935,8.914905816,16.24541957,7.989929289,2.048375973,34.88088808,29.92048127,4.52999194,4.384913875,11.80666229,4.438757281,2.184480137,5.805449152,-23.300000000000004,0,0,0,0,1,0
387,TX-27,TX,27,34.9,63.1,36.6,60.3,38.3,61.7,-13,43.42155159,5.011021367,48.79393592,1.799920103,0.9735710244,31.83867233,11.58287926,4.470396424,0.540624943,42.2535097,6.540426214,0.6460731689,1.153846934,-28.200000000000003,0,0,0,1,0,0
388,TX-28,TX,28,58.3,39.0,84.4,0.0,66.2,31.3,9,19.42893334,4.104938813,74.60749851,0.0,1.858629335,13.33979102,6.089142326,2.839992636,1.264946176,62.65691294,11.95058557,0.0,0.0,19.299999999999997,0,0,0,0,1,0
389,TX-29,TX,29,71.1,27.4,75.1,23.9,72.5,24.0,19,11.80588319,10.43065141,74.99127725,2.611338476,0.1608496725,9.100185427,2.705697765,8.669863179,1.760788229,69.16448141,5.826795844,1.439966645,1.17137183,43.699999999999996,1,0,0,0,0,0
390,TX-30,TX,30,77.5,18.4,91.1,0.0,77.9,19.0,29,20.09087088,43.53455695,33.40965953,2.138868317,0.8260443146,11.20373892,8.887131963,34.72548588,8.809071075,30.0588459,3.350813635,1.022997938,1.115870379,59.1,1,0,0,0,0,0
391,TX-31,TX,31,44.3,53.4,47.7,50.6,36.5,58.4,-10,58.72847633,11.58091354,21.67123274,6.405826655,1.613550735,34.96429729,23.76417904,8.887630956,2.693282583,16.45062511,5.220607626,2.296529841,4.109296814,-9.100000000000001,0,0,0,0,1,0
392,TX-32,TX,32,51.9,45.9,52.3,45.8,0.0,71.1,-5,53.29021128,14.22429513,21.65860379,8.69207806,2.13481173,22.33322205,30.95698923,8.603698436,5.620596698,18.42252021,3.236083586,4.185875084,4.506202976,6.0,1,0,0,0,0,0
393,TX-33,TX,33,66.8,25.2,76.2,21.9,73.7,26.3,23,17.46995507,17.66682046,61.72816004,2.661378102,0.4736863323,13.1693759,4.300579174,14.60611246,3.060707999,57.41548674,4.312673293,1.301013666,1.360364436,41.599999999999994,1,0,0,0,0,0
394,TX-34,TX,34,55.4,41.8,60.0,40.0,62.7,37.3,10,17.15488262,1.397555902,80.22736981,0.0,1.220191665,12.49837493,4.656507689,1.133366763,0.264189139,69.88290246,10.34446735,0.0,0.0,13.600000000000001,0,0,0,1,0,0
395,TX-35,TX,35,65.4,29.9,71.3,26.0,63.1,31.6,15,31.67684085,9.364868198,55.90477613,2.179873301,0.8736415171,17.70019676,13.97664409,7.903998445,1.460869753,47.66701891,8.237757227,0.9326883784,1.247184923,35.50000000000001,1,0,0,0,0,0
396,TX-36,TX,36,24.3,73.6,27.4,72.6,0.0,88.7,-26,64.09320132,9.344780086,23.4504048,1.962101681,1.149512108,49.84406152,14.2491398,7.971249277,1.373530809,20.9225913,2.527813502,0.9064110693,1.055690612,-49.3,0,0,0,1,0,0
