,State,First_Name,Last_Name,State_Abbr,Party,Gender,DW_Nomininate_Score,Votes_with_Party_Pct,Votes_against_party_pct,Missed_votes_pct,Total_votes,Ranking,Next_election,Seniority,in_office,Senator,merge_id,election_year,previous_vote_share,years_served,inc_running,2020_pres_can,past_pres-can,votes_trump_era,trump_agree_pct,predicted_trump_agree,net_trump_vote_2016,fb_status_inaguration,fb_reform_status_now,Link to Source
16,Florida,Rick,Scott,FL,R,M,0.0,88.6,11.4,3.13,448,junior,2024,1,True,Rick Scott,Scott-FL,2024,50.05,6,1,0,0,44,84.0909091,41.393186,1.19862561,No,No,No Senate R’s support filibuster reform at this time
18,Georgia,Jon,Ossoff,GA,D,M,0.0,98.88,1.12,0.0,446,senior,2026,1,True,Jon Ossoff,Ossoff-GA,2026,50.6,6,1,0,0,0,0.0,59.16867,5.15937819,Maybe,Maybe,https://twitter.com/kylegriffin1/status/1370117326910025729
19,Georgia,Raphael,Warnock,GA,D,M,0.0,98.87,1.13,0.9,446,junior,2022,1,True,Raphael Warnock,Warnock-GA,2022,51.0,2,1,0,0,0,0.0,59.16867,5.15937819,Maybe,Maybe,https://www.cnn.com/2021/03/22/politics/raphael-warnock-voting-rights-filibuster-fight/index.html
21,Hawaii,Mazie,Hirono,HI,D,F,-0.512,99.32,0.68,1.79,448,junior,2024,9,True,Mazie Hirono,Hirono-HI,2024,71.2,12,1,0,0,129,22.4806202,19.233725,-32.18281473,Yes,Yes,https://mms.tveyes.com/transcript.asp?StationID=100&DateTime=3/5/2021%209:39:05%20AM&playclip=true&pbc=search%3a%2b(filibuster)
20,Hawaii,Brian,Schatz,HI,D,M,-0.443,99.32,0.68,1.56,448,senior,2022,9,True,Brian Schatz,Schatz-HI,2022,70.1,10,1,0,0,128,23.4375,19.38061,-32.18281473,Yes,Yes,https://twitter.com/brianschatz/status/1365105322268917762?s=20
24,Idaho,Michael,Crapo,ID,R,M,0.502,91.2,8.8,1.79,448,senior,2022,23,True,Michael Crapo,Crapo-ID,2022,66.1,24,1,0,0,125,90.4,87.005797,31.76941855,No,No,No Senate R’s support filibuster reform at this time
25,Idaho,Jim,Risch,ID,R,M,0.583,91.67,8.33,2.68,448,junior,2026,13,True,Jim Risch,Risch-ID,2026,62.6,18,1,0,0,127,88.1889764,87.093771,31.76941855,No,No,No Senate R’s support filibuster reform at this time
27,Illinois,Tammy,Duckworth,IL,D,F,-0.335,99.33,0.67,0.22,448,junior,2022,5,True,Tammy Duckworth,Duckworth-IL,2022,54.9,6,1,0,0,124,25.0,26.697969999999998,-17.06361362,Maybe,Maybe,https://www.ourquadcities.com/news/4-the-record/duckworth-on-eliminating-filibuster-everythings-on-the-table/
26,Illinois,Richard,Durbin,IL,D,M,-0.348,99.78,0.22,0.0,448,senior,2026,25,True,Richard Durbin,Durbin-IL,2026,54.9,30,1,0,0,126,23.809523799999997,26.348621,-17.06361362,Yes,Yes,https://thehill.com/homenews/sunday-talk-shows/535579-durbin-senate-should-consider-changes-to-filibuster
29,Indiana,Mike,Braun,IN,R,M,0.0,91.75,8.25,4.02,448,junior,2024,1,True,Mike Braun,Braun-IN,2024,51.0,6,1,0,0,44,90.9090909,71.280428,19.16519376,No,No,No Senate R’s support filibuster reform at this time
28,Indiana,Todd,Young,IN,R,M,0.464,90.12,9.88,3.57,448,senior,2022,5,True,Todd Young,Young-IN,2022,52.1,6,1,0,0,129,82.17054259999999,79.330107,19.16519376,No,No,No Senate R’s support filibuster reform at this time
22,Iowa,Joni,Ernst,IA,R,F,0.541,92.03,7.97,0.22,448,junior,2026,7,True,Joni Ernst,Ernst-IA,2026,51.7,12,1,0,0,129,88.37209299999999,66.57354,9.40683805,No,No,No Senate R’s support filibuster reform at this time
23,Iowa,Charles,Grassley,IA,R,M,0.349,82.5,17.5,0.0,448,senior,2022,41,True,Charles Grassley,Grassley-IA,2022,60.1,42,1,0,0,129,88.37209299999999,66.57354,9.40683805,No,No,No Senate R’s support filibuster reform at this time
30,Kansas,Roger,Marshall,KS,R,M,0.555,92.51,7.49,2.9,448,junior,2026,1,True,Roger Marshall,Marshall-KS,2026,53.2,6,0,0,0,183,97.2677596,93.267179,20.60221107,No,No,No Senate R’s support filibuster reform at this time
31,Kansas,Jerry,Moran,KS,R,M,0.415,94.54,5.46,9.15,448,senior,2022,11,True,Jerry Moran,Moran-KS,2022,62.2,12,1,0,0,127,81.1023622,81.05958199999999,20.60221107,No,No,No Senate R’s support filibuster reform at this time
