,State,First_Name,Last_Name,State_Abbr,Party,Gender,DW_Nomininate_Score,Votes_with_Party_Pct,Votes_against_party_pct,Missed_votes_pct,Total_votes,Ranking,Next_election,Seniority,in_office,Senator,merge_id,election_year,previous_vote_share,years_served,inc_running,2020_pres_can,past_pres-can,votes_trump_era,trump_agree_pct,predicted_trump_agree,net_trump_vote_2016,fb_status_inaguration,fb_reform_status_now,Link to Source
64,Nevada,Catherine,Cortez Masto,NV,D,F,-0.367,98.66,1.34,0.22,448,senior,2022,1,True,Catherine Cortez Masto,Cortez Masto-NV,2022,47.1,6,1,0,0,129,27.9069767,45.051175,-2.41712836,Maybe,Maybe,https://thenevadaindependent.com/article/cortez-masto-backs-the-talking-filibuster
65,Nevada,Jacky,Rosen,NV,D,F,-0.285,98.66,1.34,0.0,448,junior,2024,3,True,Jacky Rosen,Rosen-NV,2024,50.4,6,1,0,0,136,34.5588235,60.443997,-2.41712836,Maybe,Maybe,https://www.washingtonpost.com/politics/2021/06/09/nevada-democrat-jacky-rosen-is-bent-being-bipartisan-washington-that-is-anything/
58,New Hampshire,Margaret,Hassan,NH,D,F,-0.23,97.77,2.23,0.0,448,junior,2022,1,True,Margaret Hassan,Hassan-NH,2022,48.0,6,1,0,0,129,28.682170499999998,48.787561000000004,-0.36766386,Maybe,Maybe,https://www.cnn.com/2021/03/25/politics/democratic-senate-divisions-filibuster-manchin/index.html
59,New Hampshire,Jeanne,Shaheen,NH,D,F,-0.237,99.1,0.9,0.89,448,senior,2026,13,True,Jeanne Shaheen,Shaheen-NH,2026,56.6,18,1,0,0,128,29.6875,48.916035,-0.36766386,Maybe,Maybe,https://www.cnn.com/2021/03/25/politics/democratic-senate-divisions-filibuster-manchin/index.html
61,New Jersey,Cory,Booker,NJ,D,M,-0.591,98.6,1.4,4.24,448,junior,2026,9,True,Cory Booker,Booker-NJ,2026,57.2,13,1,1,0,119,15.966386599999998,29.032080999999998,-14.1026978,Yes,Maybe,https://www.huffpost.com/entry/filibuster-senate-cory-booker_n_604a84c0c5b65bed87d939d5
60,New Jersey,Robert,Menendez,NJ,D,M,-0.367,98.88,1.12,0.45,448,senior,2024,16,True,Robert Menendez,Menendez-NJ,2024,53.7,18,1,0,0,127,22.0472441,27.976373,-14.1026978,Maybe,Maybe,https://www.northjersey.com/story/news/columnists/charles-stile/2021/03/26/new-jersey-senators-join-groundswell-filibuster-reform/6986743002/
62,New Mexico,Martin,Heinrich,NM,D,M,-0.33,98.85,1.15,3.13,448,senior,2024,9,True,Martin Heinrich,Heinrich-NM,2024,54.1,12,1,0,0,128,26.5625,35.798192,-8.2132684,Yes,Yes,https://twitter.com/MartinHeinrich/status/1372674463284797444?s=20
63,New Mexico,Ben,Lujan,NM,D,M,-0.368,98.88,1.12,0.45,448,junior,2026,1,True,Ben Luján,Lujan-NM,2026,51.7,6,0,0,0,186,12.365591400000001,24.349265,-8.2132684,Maybe,Maybe,https://www.rollcall.com/2021/03/04/senate-democrats-ready-to-field-house-passed-bills-but-expect-obstacles/
66,New York,Kirsten,Gillibrand,NY,D,F,-0.473,99.33,0.67,0.22,448,junior,2024,13,True,Kirsten Gillibrand,Gillibrand-NY,2024,67.0,15,1,1,0,121,12.396694199999999,24.152188,-22.49045614,Yes,Yes,https://buffalonews.com/news/national/govt-and-politics/as-majority-leader-schumer-breaks-ground-and-faces-obstacles/article_05fb5620-5c26-11eb-b8c9-8f6eac72a5d1.html
67,New York,Charles,Schumer,NY,D,M,-0.358,99.11,0.89,0.0,448,senior,2022,23,True,Charles Schumer,Schumer-NY,2022,70.6,24,1,0,0,129,23.255814,23.133772,-22.49045614,Maybe,Maybe,https://drive.google.com/file/d/11ekqSV1yk3rmM_YGr_zpsQ3RlapgQZsX/view?usp=sharing
52,North Carolina,Richard,Burr,NC,R,M,0.441,83.9,16.1,7.59,448,senior,2022,17,True,Richard Burr,Burr-NC,2022,51.1,18,1,0,0,121,89.2561983,56.00611599999999,3.65522853,No,No,No Senate R’s support filibuster reform at this time
53,North Carolina,Thom,Tillis,NC,R,M,0.423,86.72,13.29,6.92,448,junior,2026,7,True,Thom Tillis,Tillis-NC,2026,48.7,12,1,0,0,127,90.5511811,56.654009,3.65522853,No,No,No Senate R’s support filibuster reform at this time
55,North Dakota,Kevin,Cramer,ND,R,M,0.392,90.02,9.98,6.47,448,junior,2024,3,True,Kevin Cramer,Cramer-ND,2024,55.1,6,1,0,0,135,94.0740741,90.829926,35.72888837,No,No,No Senate R’s support filibuster reform at this time
54,North Dakota,John,Hoeven,ND,R,M,0.36,91.53,8.47,0.67,448,senior,2022,11,True,John Hoeven,Hoeven-ND,2022,78.5,12,1,0,0,129,92.248062,88.324723,35.72888837,No,No,No Senate R’s support filibuster reform at this time
68,Ohio,Sherrod,Brown,OH,D,M,-0.428,99.55,0.45,0.45,448,senior,2024,15,True,Sherrod Brown,Brown-OH,2024,53.2,18,1,0,0,128,25.78125,64.165848,8.1295744,Yes,Yes,http://mms.tveyes.com/PlaybackPortal.aspx?SavedEditID=f8783ebb-2cf3-4ea2-ad74-a27922ccc863
69,Ohio,Rob,Portman,OH,R,M,0.37,80.59,19.41,0.45,448,junior,2022,11,True,Rob Portman,Portman-OH,2022,58.0,12,1,0,0,128,88.28125,64.209123,8.1295744,No,No,No Senate R’s support filibuster reform at this time
71,Oklahoma,James,Inhofe,OK,R,M,0.555,96.04,3.96,9.38,448,senior,2026,29,True,James Inhofe,Inhofe-OK,2026,62.9,32,1,0,0,128,89.84375,88.372972,36.39118454,No,No,No Senate R’s support filibuster reform at this time
70,Oklahoma,James,Lankford,OK,R,M,0.596,94.09,5.91,0.0,448,junior,2022,7,True,James Lankford,Lankford-OK,2022,67.7,8,1,0,0,129,86.8217054,88.46309,36.39118454,No,No,No Senate R’s support filibuster reform at this time
72,Oregon,Jeff,Merkley,OR,D,M,-0.44,98.88,1.12,0.0,448,junior,2026,13,True,Jeff Merkley,Merkley-OR,2026,56.9,18,1,0,0,129,15.503876,32.300453000000005,-10.97781682,Yes,Yes,https://www.theguardian.com/us-news/2021/jan/20/joe-biden-agenda-donald-trump-senate
73,Oregon,Ron,Wyden,OR,D,M,-0.33,99.33,0.67,0.0,448,senior,2022,26,True,Ron Wyden,Wyden-OR,2022,56.6,26,1,0,0,129,18.6046512,32.300453000000005,-10.97781682,Maybe,Maybe,https://thehill.com/homenews/senate/534527-senate-democrats-leery-of-nixing-filibuster
74,Pennsylvania,Bob,Casey,PA,D,M,-0.314,99.11,0.89,0.22,448,senior,2024,15,True,Bob Casey,Casey-PA,2024,55.7,18,1,0,0,129,28.682170499999998,50.8316,0.72426964,Maybe,Yes,https://twitter.com/SenBobCasey/status/1380539275259875338?s=20
